HGNC_ID	Approved_symbol	Approved_name	RefSeq_IDs	UniProt_ID	Ensembl_ID
HGNC:27937	ESPNL	espin like	NM_194312	Q6ZVH7	ENSG00000144488
HGNC:23285	ESPNP	espin pseudogene			ENSG00000268869
HGNC:3467	ESR1	estrogen receptor 1	NM_000125	P03372	ENSG00000091831
HGNC:3468	ESR2	estrogen receptor 2		Q92731	ENSG00000140009
HGNC:39079	ESRG	embryonic stem cell related	NR_027122	Q1W209	ENSG00000265992
HGNC:25966	ESRP1	epithelial splicing regulatory protein 1	NM_017697	Q6NXG1	ENSG00000104413
HGNC:26152	ESRP2	epithelial splicing regulatory protein 2	NM_024939	Q9H6T0	ENSG00000103067
HGNC:3471	ESRRA	estrogen related receptor alpha	NM_004451	P11474	ENSG00000173153
HGNC:3472	ESRRAP1	estrogen-related receptor alpha pseudogene 1	NG_001009		ENSG00000215572
HGNC:24647	ESRRAP2	estrogen-related receptor alpha pseudogene 2	NR_000033		ENSG00000235438
HGNC:3473	ESRRB	estrogen related receptor beta		O95718	ENSG00000119715
HGNC:3474	ESRRG	estrogen related receptor gamma	NM_206595	P62508	ENSG00000196482
HGNC:16817	ESS2	ess-2 splicing factor homolog		Q96DF8	ENSG00000100056
HGNC:14865	ESX1	ESX homeobox 1	NM_153448	Q8N693	ENSG00000123576
HGNC:29534	ESYT1	extended synaptotagmin 1	NM_015292	Q9BSJ8	ENSG00000139641
HGNC:22211	ESYT2	extended synaptotagmin 2	NM_020728	A0FGR8	ENSG00000117868
HGNC:24295	ESYT3	extended synaptotagmin 3	NM_031913	A0FGR9	ENSG00000158220
HGNC:24648	ETAA1	ETAA1 activator of ATR kinase	NM_019002	Q9NY74	ENSG00000143971
HGNC:53449	ETDA	embryonic testis differentiation homolog A	NM_001355522	Q3ZM63	ENSG00000238210
HGNC:44269	ETDB	embryonic testis differentiation homolog B	NR_033941	P0DPP9	ENSG00000224107
HGNC:53450	ETDC	embryonic testis differentiation homolog C	NM_001358449	A0A1B0GVM5	ENSG00000283644
HGNC:3477	ETF1	eukaryotic translation termination factor 1	NM_004730	P62495	ENSG00000120705
HGNC:3478	ETF1P1	eukaryotic translation termination factor 1 pseudogene 1	NG_001028		ENSG00000232757
HGNC:3479	ETF1P2	eukaryotic translation termination factor 1 pseudogene 2			ENSG00000240132
HGNC:3480	ETF1P3	eukaryotic translation termination factor 1 pseudogene 3			ENSG00000233833
HGNC:3481	ETFA	electron transfer flavoprotein subunit alpha	NM_000126	P13804	ENSG00000140374
HGNC:3482	ETFB	electron transfer flavoprotein subunit beta		P38117	ENSG00000105379
HGNC:28739	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	NM_173802	Q8IXQ9	ENSG00000139160
HGNC:3483	ETFDH	electron transfer flavoprotein dehydrogenase		Q16134	ENSG00000171503
HGNC:27052	ETFRF1	electron transfer flavoprotein regulatory factor 1	NM_001001660	Q6IPR1	ENSG00000205707
HGNC:23287	ETHE1	ETHE1 persulfide dioxygenase	NM_014297	O95571	ENSG00000105755
HGNC:24649	ETNK1	ethanolamine kinase 1	NM_018638	Q9HBU6	ENSG00000139163
HGNC:25575	ETNK2	ethanolamine kinase 2	NM_018208	Q9NVF9	ENSG00000143845
HGNC:14404	ETNPPL	ethanolamine-phosphate phospho-lyase	NM_031279	Q8TBG4	ENSG00000164089
HGNC:3488	ETS1	ETS proto-oncogene 1, transcription factor	NM_005238	P14921	ENSG00000134954
HGNC:53932	ETS1-AS1	ETS1 antisense RNA 1	NR_120581		ENSG00000254588
HGNC:3489	ETS2	ETS proto-oncogene 2, transcription factor		P15036	ENSG00000157557
HGNC:3490	ETV1	ETS variant transcription factor 1	NM_004956	P50549	ENSG00000006468
HGNC:3491	ETV2	ETS variant transcription factor 2	NM_014209	O00321	ENSG00000105672
HGNC:3492	ETV3	ETS variant transcription factor 3	NM_005240	P41162	ENSG00000117036
HGNC:33834	ETV3L	ETS variant transcription factor 3 like	NM_001004341	Q6ZN32	ENSG00000253831
HGNC:3493	ETV4	ETS variant transcription factor 4	NM_001986	P43268	ENSG00000175832
HGNC:3494	ETV5	ETS variant transcription factor 5	NM_004454	P41161	ENSG00000244405
HGNC:40222	ETV5-AS1	ETV5 antisense RNA 1			ENSG00000234197
HGNC:3495	ETV6	ETS variant transcription factor 6	NM_001987	P41212	ENSG00000139083
HGNC:18160	ETV7	ETS variant transcription factor 7	NM_016135	Q9Y603	ENSG00000010030
HGNC:40833	ETV7-AS1	ETV7 and PTX1 antisense RNA 1			ENSG00000224666
HGNC:25816	EVA1A	eva-1 homolog A, regulator of programmed cell death	NM_032181	Q9H8M9	ENSG00000115363
HGNC:25558	EVA1B	eva-1 homolog B	NM_018166	Q9NVM1	ENSG00000142694
HGNC:13239	EVA1C	eva-1 homolog C	NM_058187	P58658	ENSG00000166979
HGNC:3497	EVC	EvC ciliary complex subunit 1		P57679	ENSG00000072840
HGNC:19747	EVC2	EvC ciliary complex subunit 2	NM_147127	Q86UK5	ENSG00000173040
HGNC:3499	EVI2A	ecotropic viral integration site 2A	NM_014210	P22794	ENSG00000126860
HGNC:3500	EVI2B	ecotropic viral integration site 2B	NM_006495	P34910	ENSG00000185862
HGNC:3501	EVI5	ecotropic viral integration site 5	NM_005665	O60447	ENSG00000067208
HGNC:30464	EVI5L	ecotropic viral integration site 5 like	NM_145245	Q96CN4	ENSG00000142459
HGNC:20234	EVL	Enah/Vasp-like		Q9UI08	ENSG00000196405
HGNC:3503	EVPL	envoplakin	NM_001988	Q92817	ENSG00000167880
HGNC:35236	EVPLL	envoplakin like	NM_001145127	A8MZ36	ENSG00000214860
HGNC:3506	EVX1	even-skipped homeobox 1		P49640	ENSG00000106038
HGNC:40223	EVX1-AS	EVX1 antisense RNA			ENSG00000253405
HGNC:3507	EVX2	even-skipped homeobox 2		Q03828	ENSG00000174279
HGNC:26596	EWSAT1	Ewing sarcoma associated transcript 1	NR_026949		ENSG00000212766
HGNC:3508	EWSR1	EWS RNA binding protein 1	NM_005243	Q01844	ENSG00000182944
HGNC:28507	EXD1	exonuclease 3'-5' domain containing 1	NM_152596	Q8NHP7	ENSG00000178997
HGNC:20217	EXD2	exonuclease 3'-5' domain containing 2		Q9NVH0	ENSG00000081177
HGNC:26023	EXD3	exonuclease 3'-5' domain containing 3	NM_017820	Q8N9H8	ENSG00000187609
HGNC:3511	EXO1	exonuclease 1	NM_006027	Q9UQ84	ENSG00000174371
HGNC:26115	EXO5	exonuclease 5	NM_022774	Q9H790	ENSG00000164002
HGNC:30380	EXOC1	exocyst complex component 1	NM_018261	Q9NV70	ENSG00000090989
HGNC:53433	EXOC1L	exocyst complex component 1 like	NM_001351574	A0A1B0GW35	ENSG00000250821
HGNC:24968	EXOC2	exocyst complex component 2	NM_018303	Q96KP1	ENSG00000112685
HGNC:30378	EXOC3	exocyst complex component 3	NM_007277	O60645	ENSG00000180104
HGNC:25175	EXOC3-AS1	EXOC3 antisense RNA 1	NR_126522	Q8N2X6	ENSG00000221990
HGNC:27540	EXOC3L1	exocyst complex component 3 like 1	NM_178516	Q86VI1	ENSG00000179044
HGNC:30162	EXOC3L2	exocyst complex component 3 like 2	NM_138568	Q2M3D2	ENSG00000283632
HGNC:20120	EXOC3L4	exocyst complex component 3 like 4	NM_001077594	Q17RC7	ENSG00000205436
HGNC:30389	EXOC4	exocyst complex component 4	NM_021807	Q96A65	ENSG00000131558
HGNC:10696	EXOC5	exocyst complex component 5	NM_006544	O00471	ENSG00000070367
HGNC:43870	EXOC5P1	exocyst complex component 5 pseudogene 1			ENSG00000180673
HGNC:23196	EXOC6	exocyst complex component 6	NM_019053	Q8TAG9	ENSG00000138190
HGNC:17085	EXOC6B	exocyst complex component 6B	NM_001321729	Q9Y2D4	ENSG00000144036
HGNC:23214	EXOC7	exocyst complex component 7	NM_015219	Q9UPT5	ENSG00000182473
HGNC:43871	EXOC7P1	exocyst complex component 7 pseudogene 1			ENSG00000250485
HGNC:24659	EXOC8	exocyst complex component 8	NM_175876	Q8IYI6	ENSG00000116903
HGNC:3347	EXOG	exo/endonuclease G	NM_005107	Q9Y2C4	ENSG00000157036
HGNC:44547	EXOGP1	EXOG pseudogene 1			ENSG00000263748
HGNC:17286	EXOSC1	exosome component 1		Q9Y3B2	ENSG00000171311
HGNC:17097	EXOSC2	exosome component 2	NM_014285	Q13868	ENSG00000130713
HGNC:17944	EXOSC3	exosome component 3	NM_016042	Q9NQT5	ENSG00000107371
HGNC:33989	EXOSC3P1	exosome component 3 pseudogene 1			ENSG00000229007
HGNC:33990	EXOSC3P2	exosome component 3 pseudogene 2			ENSG00000269763
HGNC:18189	EXOSC4	exosome component 4	NM_019037	Q9NPD3	ENSG00000178896
HGNC:24662	EXOSC5	exosome component 5	NM_020158	Q9NQT4	ENSG00000077348
HGNC:19055	EXOSC6	exosome component 6	NM_058219	Q5RKV6	ENSG00000223496
HGNC:28112	EXOSC7	exosome component 7	NM_015004	Q15024	ENSG00000075914
HGNC:17035	EXOSC8	exosome component 8	NM_181503	Q96B26	ENSG00000120699
HGNC:9137	EXOSC9	exosome component 9	NM_005033	Q06265	ENSG00000123737
HGNC:9138	EXOSC10	exosome component 10	NM_001001998	Q01780	ENSG00000171824
HGNC:40456	EXOSC10-AS1	EXOSC10 antisense RNA 1	NR_135061		ENSG00000230337
HGNC:30578	EXPH5	exophilin 5	NM_015065	Q8NEV8	ENSG00000110723
HGNC:3512	EXT1	exostosin glycosyltransferase 1	NM_000127	Q16394	ENSG00000182197
HGNC:3513	EXT2	exostosin glycosyltransferase 2	NM_000401	Q93063	ENSG00000151348
HGNC:3515	EXTL1	exostosin like glycosyltransferase 1	NM_004455	Q92935	ENSG00000158008
HGNC:3516	EXTL2	exostosin like glycosyltransferase 2	NM_001439	Q9UBQ6	ENSG00000162694
HGNC:3517	EXTL2P1	exostosin like glycosyltransferase 2 pseudogene 1			ENSG00000223976
HGNC:3518	EXTL3	exostosin like glycosyltransferase 3	NM_001440	O43909	ENSG00000012232
HGNC:27985	EXTL3-AS1	EXTL3 antisense RNA 1			ENSG00000246339
HGNC:3519	EYA1	EYA transcriptional coactivator and phosphatase 1	NM_000503, NM_172060	Q99502	ENSG00000104313
HGNC:3520	EYA2	EYA transcriptional coactivator and phosphatase 2	NM_005244	O00167	ENSG00000064655
HGNC:3521	EYA3	EYA transcriptional coactivator and phosphatase 3	NM_001990	Q99504	ENSG00000158161
HGNC:3522	EYA4	EYA transcriptional coactivator and phosphatase 4	NM_004100	O95677	ENSG00000112319
HGNC:21555	EYS	eyes shut homolog	NM_001292009	Q5T1H1	ENSG00000188107
HGNC:3526	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	NM_001991	Q92800	ENSG00000108799
HGNC:3527	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	NM_004456	Q15910	ENSG00000106462
HGNC:39918	EZH2P1	enhancer of zeste 2 polycomb repressive complex 2 subunit pseudogene 1			ENSG00000231300
HGNC:33738	EZHIP	EZH inhibitory protein	NM_203407	Q86X51	ENSG00000187690
HGNC:12691	EZR	ezrin	NM_003379	P15311	ENSG00000092820
HGNC:40609	EZR-AS1	EZR antisense RNA 1			ENSG00000233893
HGNC:3535	F2	coagulation factor II, thrombin		P00734	ENSG00000180210
HGNC:3537	F2R	coagulation factor II thrombin receptor	NM_001992	P25116	ENSG00000181104
HGNC:3538	F2RL1	F2R like trypsin receptor 1	NM_005242	P55085	ENSG00000164251
HGNC:3539	F2RL2	coagulation factor II thrombin receptor like 2	NM_004101	O00254	ENSG00000164220
HGNC:3540	F2RL3	F2R like thrombin or trypsin receptor 3	NM_003950	Q96RI0	ENSG00000127533
HGNC:3541	F3	coagulation factor III, tissue factor	NM_001993	P13726	ENSG00000117525
HGNC:3542	F5	coagulation factor V	NM_000130	P12259	ENSG00000198734
HGNC:3544	F7	coagulation factor VII	NM_000131	P08709	ENSG00000057593
HGNC:3545	F7R	coagulation factor VII regulator			
HGNC:3546	F8	coagulation factor VIII		P00451	ENSG00000185010
HGNC:3547	F8A1	coagulation factor VIII associated 1	NM_012151	P23610	ENSG00000277203
HGNC:31849	F8A2	coagulation factor VIII associated 2	NM_001007523	P23610	ENSG00000274791
HGNC:31850	F8A3	coagulation factor VIII associated 3	NM_001007524	P23610	ENSG00000277150
HGNC:3551	F9	coagulation factor IX		P00740	ENSG00000101981
HGNC:3528	F10	coagulation factor X		P00742	ENSG00000126218
HGNC:40225	F10-AS1	F10 antisense RNA 1			ENSG00000231882
HGNC:3529	F11	coagulation factor XI		P03951	ENSG00000088926
HGNC:27725	F11-AS1	F11 antisense RNA 1	NR_033901		ENSG00000251165
HGNC:14685	F11R	F11 receptor	NM_016946	Q9Y624	ENSG00000158769
HGNC:3530	F12	coagulation factor XII	NM_000505	P00748	ENSG00000131187
HGNC:3531	F13A1	coagulation factor XIII A chain	NM_000129	P00488	ENSG00000124491
HGNC:3534	F13B	coagulation factor XIII B chain	NM_001994	P05160	ENSG00000143278
HGNC:21197	FA2H	fatty acid 2-hydroxylase	NM_024306	Q7L5A8	ENSG00000103089
HGNC:3553	FAAH	fatty acid amide hydrolase	NM_001441	O00519	ENSG00000117480
HGNC:26440	FAAH2	fatty acid amide hydrolase 2	NM_174912	Q6GMR7	ENSG00000165591
HGNC:50679	FAAHP1	fatty acid amide hydrolase pseudogene 1	NR_045483		ENSG00000232022
HGNC:26428	FAAP20	FA core complex associated protein 20	NM_182533	Q6NZ36	ENSG00000162585
HGNC:28467	FAAP24	FA core complex associated protein 24	NM_152266	Q9BTP7	ENSG00000131944
HGNC:26171	FAAP100	FA core complex associated protein 100	NM_025161	Q0VG06	ENSG00000185504
HGNC:3555	FABP1	fatty acid binding protein 1	NM_001443	P07148	ENSG00000163586
HGNC:3556	FABP2	fatty acid binding protein 2	NM_000134	P12104	ENSG00000145384
HGNC:3557	FABP3	fatty acid binding protein 3	NM_004102	P05413	ENSG00000121769
HGNC:3558	FABP3P2	fatty acid binding protein 3 pseudogene 2			ENSG00000233259
HGNC:3559	FABP4	fatty acid binding protein 4	NM_001442	P15090	ENSG00000170323
HGNC:3560	FABP5	fatty acid binding protein 5	NM_001444	Q01469	ENSG00000164687
HGNC:31059	FABP5P1	fatty acid binding protein 5 pseudogene 1	NG_006997		ENSG00000236972
HGNC:31060	FABP5P2	fatty acid binding protein 5 pseudogene 2	NG_009322		ENSG00000236044
HGNC:22573	FABP5P3	fatty acid binding protein 5 pseudogene 3	NR_002935	A8MUU1	ENSG00000241735
HGNC:31061	FABP5P4	fatty acid binding protein 5 pseudogene 4			ENSG00000229287
HGNC:31068	FABP5P5	fatty acid binding protein 5 pseudogene 5			ENSG00000213716
HGNC:31069	FABP5P6	fatty acid binding protein 5 pseudogene 6	NG_008825		ENSG00000249919
HGNC:31070	FABP5P7	fatty acid binding protein 5 pseudogene 7	NG_009321		ENSG00000234964
HGNC:31063	FABP5P8	fatty acid binding protein 5 pseudogene 8	NG_009324		
HGNC:31064	FABP5P9	fatty acid binding protein 5 pseudogene 9	NG_009323		
HGNC:31066	FABP5P10	fatty acid binding protein 5 pseudogene 10	NG_008710		ENSG00000213201
HGNC:19328	FABP5P11	fatty acid binding protein 5 pseudogene 11	NG_002376		ENSG00000240122
HGNC:31067	FABP5P12	fatty acid binding protein 5 pseudogene 12	NG_009509		ENSG00000249367
HGNC:38717	FABP5P13	fatty acid binding protein 5 pseudogene 13			ENSG00000234958
HGNC:31065	FABP5P14	fatty acid binding protein 5 pseudogene 14			ENSG00000234588
HGNC:31071	FABP5P15	fatty acid binding protein 5 pseudogene 15			ENSG00000237106
HGNC:3561	FABP6	fatty acid binding protein 6	NM_001040442	P51161	ENSG00000170231
HGNC:40226	FABP6-AS1	FABP6 antisense RNA 1			ENSG00000247699
HGNC:3562	FABP7	fatty acid binding protein 7	NM_001446	O15540	ENSG00000164434
HGNC:41951	FABP7P1	fatty acid binding protein 7 pseudogene 1			ENSG00000226766
HGNC:41952	FABP7P2	fatty acid binding protein 7 pseudogene 2			ENSG00000235129
HGNC:3563	FABP9	fatty acid binding protein 9	NM_001080526	Q0Z7S8	ENSG00000205186
HGNC:34524	FABP12	fatty acid binding protein 12	NM_001105281	A6NFH5	ENSG00000197416
HGNC:45176	FABP12P1	fatty acid binding protein 12 pseudogene 1			ENSG00000216265
HGNC:3573	FADD	Fas associated via death domain	NM_003824	Q13158	ENSG00000168040
HGNC:3574	FADS1	fatty acid desaturase 1	NM_013402	O60427	ENSG00000149485
HGNC:3575	FADS2	fatty acid desaturase 2	NM_004265	O95864	ENSG00000134824
HGNC:43618	FADS2B	fatty acid desaturase 2B, pseudogene	NG_032737	A8MWK0	ENSG00000274150
HGNC:3576	FADS3	fatty acid desaturase 3		Q9Y5Q0	ENSG00000221968
HGNC:30459	FADS6	fatty acid desaturase 6		Q8N9I5	ENSG00000172782
HGNC:3578	FAF1	Fas associated factor 1	NM_007051	Q9UNN5	ENSG00000185104
HGNC:40228	FAF1-AS1	FAF1 antisense RNA 1			ENSG00000225767
HGNC:24666	FAF2	Fas associated factor family member 2	NM_014613	Q96CS3	ENSG00000113194
HGNC:45172	FAF2P1	Fas associated factor family member 2 pseudogene 1	NG_022153		ENSG00000228759
HGNC:3579	FAH	fumarylacetoacetate hydrolase		P16930	ENSG00000103876
HGNC:14169	FAHD1	fumarylacetoacetate hydrolase domain containing 1	NM_001018104	Q6P587	ENSG00000180185
HGNC:24252	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	NM_016044	Q96GK7	ENSG00000115042
HGNC:25318	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	NM_199336	Q6P2I3	ENSG00000144199
HGNC:44135	FAHD2CP	fumarylacetoacetate hydrolase domain containing 2C, pseudogene	NR_003698		ENSG00000231584
HGNC:32441	FAHD2P1	fumarylacetoacetate hydrolase domain containing 2 pseudogene 1	NG_006649		ENSG00000257302
HGNC:18703	FAIM	Fas apoptotic inhibitory molecule	NM_001033032	Q9NVQ4	ENSG00000158234
HGNC:17067	FAIM2	Fas apoptotic inhibitory molecule 2	NM_012306	Q9BWQ8	ENSG00000135472
HGNC:43713	FALEC	focally amplified long non-coding RNA in epithelial cancer	NR_051960		ENSG00000228126
HGNC:13749	FAM3A	FAM3 metabolism regulating signaling molecule A		P98173	ENSG00000071889
HGNC:1253	FAM3B	FAM3 metabolism regulating signaling molecule B	NM_058186	P58499	ENSG00000183844
HGNC:18664	FAM3C	FAM3 metabolism regulating signaling molecule C	NM_001040020	Q92520	ENSG00000196937
HGNC:34501	FAM3C2P	family with sequence similarity 3 member C2, pseudogene	NG_002950		ENSG00000174028
HGNC:18665	FAM3D	FAM3 metabolism regulating signaling molecule D	NM_138805	Q96BQ1	ENSG00000198643
HGNC:41276	FAM3D-AS1	FAM3D antisense RNA 1			ENSG00000244383
HGNC:16372	FAM8A1	family with sequence similarity 8 member A1		Q9UBU6	ENSG00000137414
HGNC:16373	FAM8A2P	family with sequence similarity 8 member A2, pseudogene			ENSG00000254722
HGNC:16374	FAM8A3P	family with sequence similarity 8 member A3, pseudogene			ENSG00000224337
HGNC:16375	FAM8A4P	family with sequence similarity 8 member A4, pseudogene	NG_003135		ENSG00000232730
HGNC:16376	FAM8A5P	family with sequence similarity 8 member A5, pseudogene	NG_001298		
HGNC:16377	FAM8A6P	family with sequence similarity 8 member A6, pseudogene			ENSG00000218772
HGNC:23868	FAM8A7P	family with sequence similarity 8 member A7, pseudogene	NG_003134		
HGNC:23870	FAM8A9P	family with sequence similarity 8 member A9, pseudogene	NG_003136		
HGNC:23871	FAM8A10P	family with sequence similarity 8 member A10, pseudogene	NG_003137		
HGNC:18403	FAM9A	family with sequence similarity 9 member A	NM_174951	Q8IZU1	ENSG00000183304
HGNC:18404	FAM9B	family with sequence similarity 9 member B	NM_205849	Q8IZU0	ENSG00000177138
HGNC:18405	FAM9C	family with sequence similarity 9 member C	NM_174901	Q8IZT9	ENSG00000187268
HGNC:19367	FAM13A	family with sequence similarity 13 member A		O94988	ENSG00000138640
HGNC:19370	FAM13A-AS1	FAM13A antisense RNA 1	NR_002806		ENSG00000248019
HGNC:1335	FAM13B	family with sequence similarity 13 member B		Q9NYF5	ENSG00000031003
HGNC:19371	FAM13C	family with sequence similarity 13 member C		Q8NE31	ENSG00000148541
HGNC:23015	FAM20A	FAM20A golgi associated secretory pathway pseudokinase	NM_017565	Q96MK3	ENSG00000108950
HGNC:23017	FAM20B	FAM20B glycosaminoglycan xylosylkinase	NM_014864	O75063	ENSG00000116199
HGNC:22140	FAM20C	FAM20C golgi associated secretory pathway kinase	NM_020223	Q8IXL6	ENSG00000177706
HGNC:45010	FAM21EP	family with sequence similarity 21 member E, pseudogene	NG_025438		ENSG00000235618
HGNC:45011	FAM21FP	family with sequence similarity 21 member F, pseudogene			ENSG00000237840
HGNC:23470	FAM24A	family with sequence similarity 24 member A	NM_001029888	A6NFZ4	ENSG00000203795
HGNC:23475	FAM24B	family with sequence similarity 24 member B	NM_152644	Q8N5W8	ENSG00000213185
HGNC:23436	FAM25A	family with sequence similarity 25 member A		B3EWG3	ENSG00000188100
HGNC:23584	FAM25BP	family with sequence similarity 25 member B, pseudogene	NR_104039		ENSG00000273225
HGNC:23586	FAM25C	family with sequence similarity 25 member C		B3EWG5	ENSG00000276430
HGNC:23587	FAM25E	family with sequence similarity 25 member E	NM_001351234	A8MYX2	ENSG00000231122
HGNC:23590	FAM25G	family with sequence similarity 25 member G	NM_001137549	B3EWG6	ENSG00000189090
HGNC:23667	FAM27B	family with sequence similarity 27 member B	NR_027422	Q5VT28	ENSG00000278763
HGNC:23668	FAM27C	family with sequence similarity 27 member C	NR_027421	Q5VT28	ENSG00000231527
HGNC:32015	FAM27D1	family with sequence similarity 27 member D1		Q5T7N8	
HGNC:32013	FAM27E2	family with sequence similarity 27 member E2	NR_103714		
HGNC:28655	FAM27E3	family with sequence similarity 27 member E3	NR_103833	Q08E93	ENSG00000274026
HGNC:44415	FAM27E4	family with sequence similarity 27 member E4			
HGNC:32410	FAM27E5	family with sequence similarity E5	NR_028336		ENSG00000178130
HGNC:19955	FAM30A	family with sequence similarity 30 member A	NR_026800	Q9NZY2	ENSG00000226777
HGNC:31023	FAM30B	family with sequence similarity 30 member B			ENSG00000277988
HGNC:31024	FAM30C	family with sequence similarity 30 member C	NR_145444		ENSG00000259698
HGNC:24563	FAM32A	family with sequence similarity 32 member A	NM_014077	Q9Y421	ENSG00000105058
HGNC:30945	FAM32BP	family with sequence similarity 32 member B, pseudogene	NG_008703		ENSG00000203416
HGNC:34239	FAM32CP	family with sequence similarity 32 member C, pseudogene			ENSG00000213525
HGNC:34240	FAM32DP	family with sequence similarity 32 member D, pseudogene			
HGNC:34241	FAM32EP	family with sequence similarity 32 member E, pseudogene			
HGNC:23955	FAM41AY1	family with sequence similarity 41 member A, Y-linked 1	NR_028083		ENSG00000224989
HGNC:37135	FAM41AY2	family with sequence similarity 41 member A, Y-linked 2	NR_028084		ENSG00000226362
HGNC:27635	FAM41C	family with sequence similarity 41 member C	NR_027055		ENSG00000230368
HGNC:26888	FAM43A	family with sequence similarity 43 member A	NM_153690	Q8N2R8	ENSG00000185112
HGNC:31791	FAM43B	family with sequence similarity 43 member B	NM_207334	Q6ZT52	ENSG00000183114
HGNC:29962	FAM47A	family with sequence similarity 47 member A	NM_203408	Q5JRC9	ENSG00000185448
HGNC:26659	FAM47B	family with sequence similarity 47 member B	NM_152631	Q8NA70	ENSG00000189132
HGNC:25301	FAM47C	family with sequence similarity 47 member C	NM_001013736	Q5HY64	ENSG00000198173
HGNC:34342	FAM47DP	family with sequence similarity 47 member D, pseudogene	NG_008058	A6NHR8	ENSG00000174678
HGNC:34343	FAM47E	family with sequence similarity 47 member E	NM_001136570	Q6ZV65	ENSG00000189157
HGNC:44667	FAM47E-STBD1	FAM47E-STBD1 readthrough			ENSG00000272414
HGNC:18786	FAM50A	family with sequence similarity 50 member A	NM_004699	Q14320	ENSG00000071859
HGNC:18789	FAM50B	family with sequence similarity 50 member B	NM_012135	Q9Y247	ENSG00000145945
HGNC:31860	FAM53A	family with sequence similarity 53 member A	NM_001013622	Q6NSI3	ENSG00000174137
HGNC:28968	FAM53B	family with sequence similarity 53 member B	NM_014661	Q14153	ENSG00000189319
HGNC:49499	FAM53B-AS1	FAM53B antisense RNA 1	XR_246199		ENSG00000233334
HGNC:1336	FAM53C	family with sequence similarity 53 member C	NM_016605	Q9NYF3	ENSG00000120709
HGNC:30444	FAM66A	family with sequence similarity 66 member A	NR_026789		ENSG00000227888
HGNC:28890	FAM66B	family with sequence similarity 66 member B	NR_027423		ENSG00000215374
HGNC:21644	FAM66C	family with sequence similarity 66 member C	NR_026788		ENSG00000226711
HGNC:24159	FAM66D	family with sequence similarity 66 member D	NR_027425		ENSG00000255052
HGNC:18735	FAM66E	family with sequence similarity 66 member E		P0C841	ENSG00000225725
HGNC:26541	FAM71A	family with sequence similarity 71 member A	NM_153606	Q8IYT1	ENSG00000162771
HGNC:28397	FAM71B	family with sequence similarity 71 member B	NM_130899	Q8TC56	ENSG00000170613
HGNC:49805	FAM71BP1	family with sequence similarity 71 member B pseudogene 1	NG_023885		ENSG00000270683
HGNC:28594	FAM71C	family with sequence similarity 71 member C	NM_153364	Q8NEG0	ENSG00000180219
HGNC:20101	FAM71D	family with sequence similarity 71 member D	NM_173526	Q8N9W8	ENSG00000172717
HGNC:25107	FAM71E1	family with sequence similarity 71 member E1		Q6IPT2	ENSG00000142530
HGNC:25278	FAM71E2	family with sequence similarity 71 member E2	NM_001145402	Q8N5Q1	ENSG00000180043
HGNC:30704	FAM71F1	family with sequence similarity 71 member F1	NM_032599	Q96KD3	ENSG00000135248
HGNC:27998	FAM71F2	family with sequence similarity 71 member F2		Q6NXP2	ENSG00000205085
HGNC:24044	FAM72A	family with sequence similarity 72 member A		Q5TYM5	ENSG00000196550
HGNC:24805	FAM72B	family with sequence similarity 72 member B		Q86X60	ENSG00000188610
HGNC:30602	FAM72C	family with sequence similarity 72 member C		H0Y354	ENSG00000263513
HGNC:33593	FAM72D	family with sequence similarity 72 member D	NM_207418	Q6L9T8	ENSG00000215784
HGNC:32029	FAM74A1	family with sequence similarity 74 member A1	NR_026803	Q5RGS3	ENSG00000215112
HGNC:32031	FAM74A3	family with sequence similarity 74 member A3	NR_026801	Q4VXF1	ENSG00000274355
HGNC:32032	FAM74A4	family with sequence similarity 74 member A4	NR_026802	Q5TZK3	ENSG00000274583
HGNC:34036	FAM74A6	family with sequence similarity 74 member A6	NG_009678.1	Q5TZK3	ENSG00000274516
HGNC:34037	FAM74A7	family with sequence similarity 74 member A7	XR_078406	A6NL05	ENSG00000277260
HGNC:28530	FAM76A	family with sequence similarity 76 member A	NM_152660	Q8TAV0	ENSG00000009780
HGNC:28492	FAM76B	family with sequence similarity 76 member B	NM_144664	Q5HYJ3	ENSG00000077458
HGNC:25465	FAM78A	family with sequence similarity 78 member A	NM_033387	Q5JUQ0	ENSG00000126882
HGNC:13495	FAM78B	family with sequence similarity 78 member B	NM_001017961	Q5VT40	ENSG00000188859
HGNC:40639	FAM78B-AS1	FAM78B antisense RNA 1			ENSG00000203307
HGNC:28379	FAM81A	family with sequence similarity 81 member A	NM_152450	Q8TBF8	ENSG00000157470
HGNC:26335	FAM81B	family with sequence similarity 81 member B	NM_152548	Q96LP2	ENSG00000153347
HGNC:28210	FAM83A	family with sequence similarity 83 member A	NM_032899	Q86UY5	ENSG00000147689
HGNC:48658	FAM83A-AS1	FAM83A antisense RNA 1	NR_024479		ENSG00000204949
HGNC:21357	FAM83B	family with sequence similarity 83 member B	NM_001010872	Q5T0W9	ENSG00000168143
HGNC:16121	FAM83C	family with sequence similarity 83 member C		Q9BQN1	ENSG00000125998
